A,0.000,2.59,-5.31,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.010,2.58,-5.33,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.020,2.60,-5.31,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.030,2.59,-5.32,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.040,2.59,-5.31,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.050,2.58,-5.31,-0.19,34.31,0.00,0.00,0.00,0.00,Z
A,0.060,2.60,-5.33,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.070,2.59,-5.32,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.080,2.59,-5.35,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.090,2.57,.29,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.100,2.57,-5.27,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.110,2.57,-5.31,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.120,2.58,-5.33,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.130,2.57,-5.32,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.140,2.59,-5.31,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.150,2.58,-5.30,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.160,2.57,-5.33,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.170,2.56,-5.33,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.180,2.58,-5.32,-0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.200,2.59,-5.31,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.210,2.60,-5.31,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.220,2.59,-5.28,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.230,2.57,-5.32,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.240,2.58,-5.31,06,34.31,0.00,0.00,0.00,0.00,Z
A,0.250,2.60,-5.29,-0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.260,2.59,-5.32,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.270,2.58,-5.32,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.280,2.58,-5.31,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.290,2.59,-5.32,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.300,2.59,-5.33,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.310,2.59,-5.31,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.320,2.59,-5.29,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.330,2.59,-5.29,0.19,34.31,0.00,0.00,0.00,0.00,Z
A,0.340,2.59,-5.31,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.350,2.58,-5.34,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.360,2.58,-5.33,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.370,2.56,-5.33,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.380,2.59,-5.31,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.390,2.58,-5.31,-0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.400,2.56,-5.32,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.410,2.58,-5.31,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.420,2.58,-5.31,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.430,2.57,-5.33,0.00,34.31,0.00,0.00,0.00,0.00,Z
